Time,Well,RFUs,Well_Type,Energy_Solution,Lysate_Owner,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date,GFP_uM,Calibration_Model,Mini Growth Time,Midi OD600,Midi Growth Time,Maxi Growth Time,Total Culture Volume ,Harvest OD600,Cell Pellet Mass,S30A Volume Added,Freeze Speed,Thaw time,Pellet Mass : S30A Vol. Ratio,Total Resuspension Volume,Sonication Vessel Volume,Sonication Aliquot Volume,Pellet Mass : S30A Vol. Ratio at Sonication,Sonication Programme,Clarified S30 Extract Volume,S12 Extract Clarity,Lysate_Inventory_Record,RFUs_Baseline_Subtracted
0,C3,44,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0751679705045047,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
2,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
4,C3,45,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0762289066106062,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
6,C3,52,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0836349993272458,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
8,C3,60,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0920553749341008,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
10,C3,50,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0815226228954243,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
12,C3,48,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0794073278236601,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
14,C3,59,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0910053731754726,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
16,C3,49,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0804653403654069,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
18,C3,55,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0867980976806008,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
20,C3,43,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0741063026279552,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
22,C3,50,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0815226228954243,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
24,C3,58,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0899546449225522,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
26,C3,53,s70_GFP_uM,Lysate_Characterisation_1,Tony Bougas,Timecourse_GFP,Synergy H1_22060313,29,50,2023-02-04,0.0846900939325374,GFP_uM_Polynomial_Sarah_Oct_22,8,4.4,12,3.5,0.8,2,6.5,8.5,Fast Freeze (Liquid Nitrogen),15,1.5X,14,50 mL Glass Beaker,14,1X,Batch Scaled (10s on 10s off 70% Amp. 3000J per 14 ml),8,Clear,Lysate_003,
