Time,Well,RFUs,Well_Type,Energy_Solution,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date,GFP_uM,Calibration_Model,Maxi Growth Time,Total Culture Volume ,Cell Pellet Mass,S30A Volume Added,Freeze Speed,Pellet Mass : S30A Vol. Ratio,Total Resuspension Volume,Thaw time,Sonication Vessel Volume,Sonication Aliquot Volume,Pellet Mass : S30A Vol. Ratio at Sonication,Sonication Programme,Clarified S30 Extract Volume,S12 Extract Clarity,Midi OD600,Mini Growth Time,Midi Growth Time,Harvest OD600,Lysate_Inventory_Record
0.0,B2,123,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1567562374004053,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
2.0,B2,120,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.153739298844658,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
4.0,B2,112,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.145663081899418,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
6.0,B2,119,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1527322430525502,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
8.0,B2,110,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.143636956179233,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
10.0,B2,129,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1627711164762421,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
12.0,B2,104,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1375415624341814,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
14.0,B2,107,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.1405924525543782,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
16.0,B2,112,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.145663081899418,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
18.0,B2,112,Experiment,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16,0.145663081899418,GFP_uM_Polynomial_Sarah_Oct_22,2.5,1.6,11.6,29.0,Fast Freeze (Liquid Nitrogen),2.5X,29.0,90.0,50 mL Glass Beaker,30 mL,2.5X,Batch Warwick (10s on 10s off 50% Amp. 12 cycles per 30 mL),22.0,Clear,9.0,8.0,8.0,2.7,Lysate_009
