,Time,Well,RFUs,Well_Type,Lysate_Inventory_Record,Energy_Solution,Plate_Reader_Protocol,Plate_Reader,Reaction_Temp_C,Gain,Date
0,00:00:03,B2,123,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
1,00:02:03,B2,120,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
2,00:04:03,B2,112,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
3,00:06:03,B2,119,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
4,00:08:03,B2,110,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
5,00:10:03,B2,129,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
6,00:12:03,B2,104,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
7,00:14:03,B2,107,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
8,00:16:03,B2,112,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
9,00:18:03,B2,112,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
10,00:20:03,B2,116,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
11,00:22:03,B2,112,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
12,00:24:03,B2,101,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
13,00:26:03,B2,94,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
14,00:28:03,B2,79,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
15,00:30:03,B2,60,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
16,00:32:03,B2,41,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
17,00:34:03,B2,47,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
18,00:36:03,B2,35,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
19,00:38:03,B2,33,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
20,00:40:03,B2,43,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
21,00:42:03,B2,46,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
22,00:44:03,B2,49,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
23,00:46:03,B2,56,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
24,00:48:03,B2,52,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
25,00:50:03,B2,59,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
26,00:52:03,B2,51,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
27,00:54:03,B2,59,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
28,00:56:03,B2,45,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
29,00:58:03,B2,56,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
30,01:00:03,B2,61,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
31,01:02:03,B2,64,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
32,01:04:03,B2,70,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
33,01:06:03,B2,69,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
34,01:08:03,B2,66,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
35,01:10:03,B2,70,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
36,01:12:03,B2,73,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
37,01:14:03,B2,77,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
38,01:16:03,B2,70,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
39,01:18:03,B2,73,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
40,01:20:03,B2,75,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
41,01:22:03,B2,77,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
42,01:24:03,B2,74,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
43,01:26:03,B2,87,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
44,01:28:03,B2,86,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
45,01:30:03,B2,83,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
46,01:32:03,B2,90,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
47,01:34:03,B2,100,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
48,01:36:03,B2,95,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
49,01:38:03,B2,101,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
50,01:40:03,B2,95,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
51,01:42:03,B2,110,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
52,01:44:03,B2,107,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
53,01:46:03,B2,110,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
54,01:48:03,B2,96,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
55,01:50:03,B2,112,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
56,01:52:03,B2,119,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
57,01:54:03,B2,119,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
58,01:56:03,B2,113,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
59,01:58:03,B2,114,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
60,02:00:03,B2,124,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
61,02:02:03,B2,134,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
62,02:04:03,B2,126,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
63,02:06:03,B2,131,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
64,02:08:03,B2,128,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
65,02:10:03,B2,136,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
66,02:12:03,B2,137,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
67,02:14:03,B2,134,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
68,02:16:03,B2,144,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
69,02:18:03,B2,147,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
70,02:20:03,B2,146,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
71,02:22:03,B2,153,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
72,02:24:03,B2,148,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
73,02:26:03,B2,148,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
74,02:28:03,B2,156,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
75,02:30:03,B2,155,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
76,02:32:03,B2,156,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
77,02:34:03,B2,167,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
78,02:36:03,B2,164,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
79,02:38:03,B2,164,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
80,02:40:03,B2,178,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
81,02:42:03,B2,174,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
82,02:44:03,B2,176,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
83,02:46:03,B2,172,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
84,02:48:03,B2,180,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
85,02:50:03,B2,179,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
86,02:52:03,B2,178,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
87,02:54:03,B2,174,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
88,02:56:03,B2,192,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
89,02:58:03,B2,179,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
90,03:00:03,B2,189,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
91,03:02:03,B2,184,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
92,03:04:03,B2,185,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
93,03:06:03,B2,197,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
94,03:08:03,B2,191,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
95,03:10:03,B2,188,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
96,03:12:03,B2,200,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
97,03:14:03,B2,206,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
98,03:16:03,B2,208,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
99,03:18:03,B2,199,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
100,03:20:03,B2,208,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
101,03:22:03,B2,203,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
102,03:24:03,B2,202,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
103,03:26:03,B2,209,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
104,03:28:03,B2,213,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
105,03:30:03,B2,217,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
106,03:32:03,B2,204,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
107,03:34:03,B2,222,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
108,03:36:03,B2,223,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
109,03:38:03,B2,219,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
110,03:40:03,B2,229,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
111,03:42:03,B2,222,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
112,03:44:03,B2,223,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
113,03:46:03,B2,224,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
114,03:48:03,B2,224,Experiment,Lysate_005,Lysate_Characterisation_1,Timecourse_GFP,Synergy H1_22060313,29.0,50.0,2023-03-16
